id,arabic_word,frequency,english_translation,chinese_translation,status
101,شخص,430652,,,new
102,وقد,426620,,,new
103,وصلات,425128,,,new
104,أمريكي,420271,,,new
105,فريق,419198,,,new
106,الثاني,417993,,,new
107,جغرافيا,417042,,,new
108,خريطة,416263,,,new
109,كتاب,415189,,,new
110,رياضيون,412367,,,new
111,وفي,412170,,,new
112,الأولى,406877,,,new
113,المسؤول,406521,,,new
114,الألعاب,406120,,,new
115,استنادي,402185,,,new
116,الرسمي,401970,,,new
117,شقيقة,400581,,,new
118,ضبط,399151,,,new
119,حول,397842,,,new
120,اللغة,397102,,,new
121,منتخب,395950,,,new
122,محكمة,395268,,,new
123,الموقع,392465,,,new
124,مغتربون,391904,,,new
125,ال,390732,,,new
126,مجلس,384152,,,new
127,الأمريكية,382180,,,new
128,المجلد,381352,,,new
129,العلاقات,380678,,,new
130,مصر,380454,,,new
131,ألعاب,374997,,,new
132,نسبة,372453,,,new
133,الحرب,371665,,,new
134,مقالة,370382,,,new
135,ولاية,366696,,,new
136,أيض,364079,,,new
137,بدورية,363317,,,new
138,العام,362121,,,new
139,المغرب,360590,,,new
140,أوروبا,359129,,,new
141,تصغير,357479,,,new
142,شعار,355556,,,new
143,العدد,354863,,,new
144,فيلم,352341,,,new
145,إيران,352163,,,new
146,الاتحاد,351939,,,new
147,فرنسا,349868,,,new
148,التاريخ,347832,,,new
149,السعودية,345112,,,new
150,وفيات,342483,,,new
151,موسم,339989,,,new
152,خط,338613,,,new
153,الدولة,334720,,,new
154,أحمد,334228,,,new
155,هـ,330452,,,new
156,ولد,329592,,,new
157,الوفاة,328330,,,new
158,أخرى,326390,,,new
159,بطولة,326002,,,new
160,اليمن,325636,,,new
161,ألمانيا,321719,,,new
162,الوطني,318092,,,new
163,المراجع,315947,,,new
164,الثانية,315292,,,new
165,ويكيبيديا,312881,,,new
166,الأسر,310556,,,new
167,بشكل,309750,,,new
168,وهي,309700,,,new
169,الدولي,308605,,,new
170,علي,307648,,,new
171,يمكن,307640,,,new
172,الولادة,307287,,,new
173,مجموعة,306997,,,new
174,الرمز,297053,,,new
175,نتيجة,294579,,,new
176,وسط,292113,,,new
177,أنه,289972,,,new
178,انظر,287703,,,new
179,أصل,286723,,,new
180,دوري,285483,,,new
181,رئيس,284962,,,new
182,رياضية,279855,,,new
183,دي,278551,,,new
184,وكان,274292,,,new
185,سي,270955,,,new
186,الثالث,270747,,,new
187,علاقات,264375,,,new
188,التوقيت,264165,,,new
189,إسبانيا,263176,,,new
190,نسمة,261809,,,new
191,أعضاء,257772,,,new
192,بيانات,257561,,,new
193,السكان,257158,,,new
194,أمريكية,254317,,,new
195,الوطنية,253291,,,new
196,الأرض,253037,,,new
197,جنوب,252765,,,new
198,شركة,251889,,,new
199,بسبب,249865,,,new
200,الجنسية,249727,,,new
201,يوم,248619,,,new
202,حزب,247821,,,new
203,عاما,247775,,,new
204,الصيفية,246008,,,new
205,الطلب,245133,,,new
206,الميلاد,244909,,,new
207,بـ,242987,,,new
208,إيطاليا,242637,,,new
209,آسيا,242319,,,new
210,المركز,241969,,,new
211,أعمال,241457,,,new
212,تأسيسات,241411,,,new
213,نيويورك,240362,,,new
214,توقيت,240309,,,new
215,بلغ,240120,,,new
216,الدولية,238223,,,new
217,الخريطة,237526,,,new
218,وكانت,236943,,,new
219,يتم,236858,,,new
220,عدة,236204,,,new
221,بداية,235912,,,new
222,العديد,234695,,,new
223,العالمية,231009,,,new
224,فرق,230556,,,new
225,باسم,230483,,,new
226,الحزب,230427,,,new
227,قالب,229724,,,new
228,جائزة,229683,,,new
229,ونسبة,228902,,,new
230,والتي,228702,,,new
231,سياسي,228316,,,new
232,العمل,226174,,,new
233,تقع,225807,,,new
234,ضد,225363,,,new
235,هدف,225290,,,new
236,نهاية,223787,,,new
237,الدين,223768,,,new
238,الشمالية,222466,,,new
239,العرق,221880,,,new
240,العراق,221772,,,new
241,ملعب,221292,,,new
242,سكانية,220722,,,new
243,مصدر,219557,,,new
244,مدن,218736,,,new
245,التقسيم,218308,,,new
246,كومنز,216850,,,new
247,أحياء,216590,,,new
248,الكثافة,216111,,,new
249,عندما,215842,,,new
250,السنة,215768,,,new
251,طلب,215595,,,new
252,السكانية,215355,,,new
253,بالبوت,214893,,,new
254,الأولمبية,214638,,,new
255,والإثنية,213970,,,new
256,الجنوبية,213650,,,new
257,ارتفاع,213525,,,new
258,وصف,213428,,,new
259,أستراليا,212922,,,new
260,المقالة,211926,,,new
261,الدرجة,210852,,,new
262,اليوم,209488,,,new
263,مكسورة,209463,,,new
264,أكبر,209354,,,new
265,مسلسل,207091,,,new
266,العرض,205409,,,new
267,العربي,204779,,,new
268,يكون,204582,,,new
269,الإنجليزية,204359,,,new
270,الطول,203718,,,new
271,ابن,203180,,,new
272,إقليم,202173,,,new
273,الأمريكي,201530,,,new
274,وضع,201523,,,new
275,قرية,200822,,,new
276,رقم,200187,,,new
277,سباق,199957,,,new
278,كندا,197097,,,new
279,وحدة,196853,,,new
280,فقط,196691,,,new
281,عرض,196368,,,new
282,عزلة,196332,,,new
283,سبب,195921,,,new
284,سوريا,195893,,,new
285,التعداد,194249,,,new
286,أماكن,192967,,,new
287,ويكي,192900,,,new
288,عبر,192606,,,new
289,أمريكا,192451,,,new
290,اليابان,191055,,,new
291,رياضة,190601,,,new
292,ضمن,190082,,,new
293,إفريقيا,189779,,,new
294,وجود,188830,,,new
295,أحداث,188770,,,new
296,مساحة,188359,,,new
297,روسيا,187229,,,new
298,بلد,185426,,,new
299,المرأة,184962,,,new
300,دائرة,184481,,,new
301,الذكور,184138,,,new
302,الدول,184081,,,new
303,مديرية,183067,,,new
304,سلسلة,181603,,,new
305,وقت,181096,,,new
306,الجزائر,180367,,,new
307,الهند,180191,,,new
308,كاتب,180064,,,new
309,آخر,179677,,,new
310,المساحة,179445,,,new
311,وزارة,179110,,,new
312,المحلي,178607,,,new
313,العاصمة,177989,,,new
314,جمهورية,176694,,,new
315,كاليفورنيا,176689,,,new
316,العامة,175972,,,new
317,ممثل,175905,,,new
318,قسم,174957,,,new
319,تجمعات,174208,,,new
320,للسكان,173797,,,new
321,دور,173593,,,new
322,الفترة,173139,,,new
323,تكون,172671,,,new
324,الملك,171598,,,new
325,سكان,170886,,,new
326,نص,170291,,,new
327,متوسط,170027,,,new
328,الإناث,169498,,,new
329,إنجلترا,169412,,,new
330,الأخرى,169304,,,new
331,تشكيلة,169100,,,new
332,عالم,168746,,,new
333,الثامنة,168590,,,new
334,مواقع,168578,,,new
335,الصين,168402,,,new
336,الخامسة,167726,,,new
337,نظام,167543,,,new
338,جون,166689,,,new
339,قوالب,166601,,,new
340,كبير,166201,,,new
341,قاعدة,165952,,,new
342,محرر,165441,,,new
343,تونس,165307,,,new
344,مأهولة,164478,,,new
345,النظام,163882,,,new
346,التأسيس,163098,,,new
347,عضو,163094,,,new
348,الوقت,163031,,,new
349,الناتج,162714,,,new
350,خريجو,162426,,,new
351,إسرائيل,162102,,,new
352,مرة,161904,,,new
353,بني,161259,,,new
354,السياسة,161192,,,new
355,الكلية,160512,,,new
356,المهنة,159334,,,new
357,الم,159069,,,new
358,بينما,158856,,,new
359,منظمة,158633,,,new
360,حكم,157709,,,new
361,دولة,157227,,,new
362,الجيش,157099,,,new
363,لبنان,156318,,,new
364,منصب,155967,,,new
365,دار,155479,,,new
366,أنها,155099,,,new
367,تحديث,154546,,,new
368,مشروع,154205,,,new
369,رجال,154201,,,new
370,فنية,153821,,,new
371,شركات,153436,,,new
372,كلية,153358,,,new
373,البريدي,153339,,,new
374,اتحاد,152325,,,new
375,سلة,152077,,,new
376,مقالات,152064,,,new
377,فترة,151782,,,new
378,أفضل,150981,,,new
379,طريق,150239,,,new
380,فقد,149818,,,new
381,الغربية,149421,,,new
382,اللقب,149265,,,new
383,مليون,149053,,,new
384,قرى,148985,,,new
385,الخارجية,148825,,,new
386,لعب,148262,,,new
387,الحكومة,148199,,,new
388,وإو,147977,,,new
389,ثنائية,147722,,,new
390,العمر,147639,,,new
391,حوالي,147217,,,new
392,لون,147007,,,new
393,سيرة,146737,,,new
394,متر,146446,,,new
395,الإمبراطورية,146386,,,new
396,النوع,146299,,,new
397,السلة,146256,,,new
398,الرئيسي,146238,,,new
399,فيديو,145458,,,new
400,باللغة,145432,,,new
401,سن,144732,,,new
402,استخدام,144663,,,new
403,كتب,144588,,,new
404,القوات,144279,,,new
405,عليها,144225,,,new
406,حدود,143550,,,new
407,الصغيرة,143329,,,new
408,لـ,143319,,,new
409,الرئيس,143262,,,new
410,الأمم,142958,,,new
411,فلسطين,142780,,,new
412,العائلات,142360,,,new
413,دورة,142279,,,new
414,البحر,141847,,,new
415,مطار,141668,,,new
416,الدراجات,141401,,,new
417,الأعلى,141357,,,new
418,الموسم,140545,,,new
419,إنتاج,140174,,,new
420,ذكر,140054,,,new
421,الرقم,139887,,,new
422,الإجمالي,138952,,,new
423,حرب,138344,,,new
424,الإداري,137148,,,new
425,بواسطة,136725,,,new
426,لسنة,136717,,,new
427,الأصلي,136181,,,new
428,الإسلام,136045,,,new
429,تجمع,136013,,,new
430,لديها,135161,,,new
431,طول,135139,,,new
432,إس,134866,,,new
433,النادي,133669,,,new
434,السبب,133323,,,new
435,أسرة,132735,,,new
436,والعمر,132675,,,new
437,أنواع,132346,,,new
438,الفرنسية,132154,,,new
439,أثناء,132052,,,new
440,لعام,131626,,,new
441,تركيا,130951,,,new
442,الشيخ,130884,,,new
443,قانون,130505,,,new
444,إدارة,130490,,,new
445,البرازيل,130447,,,new
446,سكانها,130354,,,new
447,مجلة,130219,,,new
448,عمر,129977,,,new
449,الشرقية,129717,,,new
450,عملية,129413,,,new
451,جوائز,129131,,,new
452,الكبرى,128979,,,new
453,الفيلم,128964,,,new
454,بالإضافة,128849,,,new
455,الفلك,128635,,,new
456,للسيدات,128492,,,new
457,صغير,128412,,,new
458,أعلى,128320,,,new
459,المياه,128275,,,new
460,واحدة,127354,,,new
461,سان,127328,,,new
462,المدرسة,126933,,,new
463,يبلغ,126235,,,new
464,تقرير,126088,,,new
465,مكتب,125907,,,new
466,لكل,125697,,,new
467,بدأ,125647,,,new
468,الكويت,125407,,,new
469,الرغم,125177,,,new
470,أسست,124944,,,new
471,ان,124741,,,new
472,هولندا,124571,,,new
473,شرق,124259,,,new
474,التعليم,124248,,,new
475,آل,124002,,,new
476,رجالية,123898,,,new
477,مدربو,123469,,,new
478,الهاتفي,123130,,,new
479,بدون,122426,,,new
480,الإسلامية,122171,,,new
481,أعوام,122112,,,new
482,دولية,122026,,,new
483,وفق,121974,,,new
484,وبلغ,121387,,,new
485,القديمة,121251,,,new
486,الخاصة,121168,,,new
487,جنس,120250,,,new
488,داخل,120046,,,new
489,سابقة,119820,,,new
490,الحياة,119647,,,new
491,الممتاز,119462,,,new
492,جزر,119004,,,new
493,الإحصاء,118791,,,new
494,بأن,118637,,,new
495,موسيقى,118132,,,new
496,الإنسان,118044,,,new
497,مراجعة,117899,,,new
498,جي,117640,,,new
499,وذلك,117596,,,new
500,المساكن,117538,,,new
501,مصادر,117472,,,new
502,البريطانية,117431,,,new
503,الصفحة,117423,,,new
504,إجمالي,116935,,,new
505,لندن,116881,,,new
506,درجة,116875,,,new
507,المجموعة,116536,,,new
508,التصنيف,116383,,,new
509,تطوير,116344,,,new
510,يوجد,116298,,,new
511,اقتباس,116291,,,new
512,الأوروبي,116190,,,new
513,الأم,116190,,,new
514,الجديدة,116029,,,new
515,جديدة,115870,,,new
516,فلكية,115811,,,new
517,أدب,115336,,,new
518,ومع,115064,,,new
519,الاجتماعي,114919,,,new
520,مدافع,114905,,,new
521,إحداثيات,114877,,,new
522,شخصية,114714,,,new
523,حركة,114574,,,new
524,مؤسسة,114510,,,new
525,ملاحظات,114507,,,new
526,يسار,114446,,,new
527,قال,114441,,,new
528,بريطاني,114439,,,new
529,إحصاء,114377,,,new
530,فلم,114307,,,new
531,حسن,114041,,,new
532,الأسرة,113495,,,new
533,طب,113314,,,new
534,عائلة,113240,,,new
535,هيئة,112487,,,new
536,سياسة,111876,,,new
537,مسلسلات,111713,,,new
538,أفراد,111620,,,new
539,خاص,111561,,,new
540,علماء,111257,,,new
541,الفريق,111039,,,new
542,دخل,111010,,,new
543,كبيرة,110704,,,new
544,القانون,110450,,,new
545,يجب,109776,,,new
546,نصف,109360,,,new
547,بناء,109130,,,new
548,جبل,108980,,,new
549,جزيرة,108906,,,new
550,سيتي,108896,,,new
551,صغيرة,108844,,,new
552,مدرسة,108438,,,new
553,كوريا,108393,,,new
554,أفريقيا,108263,,,new
555,السكاني,107936,,,new
556,ممثلات,107807,,,new
557,العالمي,107616,,,new
558,نباتات,107535,,,new
559,مباراة,106961,,,new
560,الشرق,106958,,,new
561,ملك,106754,,,new
562,الأردن,106724,,,new
563,شهر,106705,,,new
564,حكومة,106446,,,new
565,تلفاز,106398,,,new
566,حال,105893,,,new
567,الأمريكيين,105697,,,new
568,الجزيرة,105695,,,new
569,إب,105354,,,new
570,وتوفي,105350,,,new
571,الإمارات,105162,,,new
572,وزير,104959,,,new
573,والسكنى,104944,,,new
574,عمان,104903,,,new
575,الكويكبات,104679,,,new
576,وكالة,104078,,,new
577,برنامج,103985,,,new
578,الأمن,103940,,,new
579,أمريكيات,103452,,,new
580,فائزون,103428,,,new
581,اللاعب,103404,,,new
582,المركزي,103391,,,new
583,عدم,103365,,,new
584,المجلس,103232,,,new
585,يقع,103230,,,new
586,منتج,103057,,,new
587,الجديد,102847,,,new
588,جهة,102739,,,new
589,إنجليز,102264,,,new
590,العزيز,101991,,,new
591,الجهاز,101934,,,new
592,باريس,101916,,,new
593,نبات,101155,,,new
594,علمي,101085,,,new
595,الأعمال,100670,,,new
596,القوى,100547,,,new
597,كثافة,100343,,,new
598,إعارة,100235,,,new
599,معركة,99998,,,new
600,الوسطى,99928,,,new
601,الرياضة,99832,,,new
602,الجوية,99678,,,new
603,القاهرة,99623,,,new
604,يو,99541,,,new
605,الكتاب,99490,,,new
606,إبراهيم,99243,,,new
607,العلمي,99099,,,new
608,مهاجم,98821,,,new
609,المحيط,98733,,,new
610,بدل,98664,,,new
611,الارتفاع,98601,,,new
612,مناطق,98490,,,new
613,تسمية,98050,,,new
614,للإحصاء,97500,,,new
615,أولمبية,97152,,,new
616,تقدم,97149,,,new
617,سينما,97125,,,new
618,غرب,97088,,,new
619,نقل,97032,,,new
620,جزء,96768,,,new
621,التابعة,96687,,,new
622,غرينتش,96549,,,new
623,صيفي,96518,,,new
624,بميداليات,96329,,,new
625,جورج,96294,,,new
626,رأس,96257,,,new
627,النهائي,95787,,,new
628,حقوق,95640,,,new
629,العرب,95472,,,new
630,السينما,95302,,,new
631,المصرية,95214,,,new
632,حضور,94897,,,new
633,السويد,94895,,,new
634,تلفزيونية,94272,,,new
635,الآسيوية,93989,,,new
636,لاحق,93817,,,new
637,المصادر,93750,,,new
638,سانت,93684,,,new
639,ولم,93628,,,new
640,الجوائز,93613,,,new
641,أبطال,93551,,,new
642,أطفال,93340,,,new
643,عسكرية,93222,,,new
644,الرابع,93047,,,new
645,المصري,92928,,,new
646,رياضي,92784,,,new
647,الثالثة,92684,,,new
648,يونايتد,92583,,,new
649,آيت,92576,,,new
650,منظمات,92551,,,new
651,صالح,92502,,,new
652,فوز,92470,,,new
653,الجزء,92390,,,new
654,يد,92024,,,new
655,الإنترنت,92000,,,new
656,بنسبة,91994,,,new
657,وادي,91964,,,new
658,الألمانية,91851,,,new
659,الجامعة,91841,,,new
660,معظم,91539,,,new
661,لويس,91304,,,new
662,نهر,91273,,,new
663,واشنطن,91239,,,new
664,قناة,91049,,,new
665,العنوان,90936,,,new
666,عادة,90828,,,new
667,العسكرية,90719,,,new
668,المعلومات,90187,,,new
669,المقاطعة,90180,,,new
670,نسخة,90054,,,new
671,الإسلامي,90045,,,new
672,نفسه,89869,,,new
673,البرتغال,89815,,,new
674,إعادة,89755,,,new
675,يوسف,89459,,,new
676,ار,89452,,,new
677,أيرلندا,89155,,,new
678,المكسيك,89115,,,new
679,سكاني,89106,,,new
680,إنشاء,89095,,,new
681,القوة,89006,,,new
682,فئة,88953,,,new
683,الدفاع,88944,,,new
684,البحرية,88845,,,new
685,قطر,88700,,,new
686,مختلفة,88670,,,new
687,دول,88487,,,new
688,حسين,88362,,,new
689,الأوروبية,88227,,,new
690,وبعد,88216,,,new
691,إم,88209,,,new
692,العثمانية,88085,,,new
693,شارك,88067,,,new
694,بطاقة,87942,,,new
695,سابق,87738,,,new
696,البلاد,87527,,,new
697,أولاد,87287,,,new
698,القرية,87202,,,new
699,بلجيكا,87144,,,new
700,شكل,87109,,,new
701,السابق,87066,,,new
702,مقارنة,87023,,,new
703,الجمعية,86834,,,new
704,ممثلون,86829,,,new
705,خلفية,86758,,,new
706,إف,86555,,,new
707,العلوم,86542,,,new
708,المحافظة,86461,,,new
709,الأرجنتين,86208,,,new
710,العصر,86186,,,new
711,الولاية,85973,,,new
712,سويسرا,85769,,,new
713,انتخابات,85739,,,new
714,أبي,85631,,,new
715,تأسيس,85245,,,new
716,سياسيون,85190,,,new
717,الإنجليزي,85127,,,new
718,الحكم,85077,,,new
719,تكساس,85061,,,new
720,المناطق,84599,,,new
721,الفئة,84207,,,new
722,حد,84199,,,new
723,الحديث,84044,,,new
724,الرياضية,83914,,,new
725,محمود,83668,,,new
726,تقسيم,83565,,,new
727,العليا,83561,,,new
728,بدأت,83555,,,new
729,الانتشار,83504,,,new
730,الملكية,83485,,,new
731,مؤلفين,83472,,,new
732,رواية,83379,,,new
733,لمدة,83278,,,new
734,خارج,83259,,,new
735,الأكثر,83179,,,new
736,الحالي,83113,,,new
737,كولومبيا,82635,,,new
738,نشر,82624,,,new
739,الهدف,82500,,,new
740,عاصمة,82397,,,new
741,الرئيسية,82339,,,new
742,بيت,82137,,,new
743,ردمك,82064,,,new
744,سيدي,82000,,,new
745,الديمقراطي,81702,,,new
746,اليونان,81693,,,new
747,مجال,81640,,,new
748,قتل,81431,,,new
749,الدبلوماسية,81350,,,new
750,فما,81343,,,new
751,الوزراء,81260,,,new
752,ترتيب,81187,,,new
753,النواب,81002,,,new
754,لأن,80896,,,new
755,رسمي,80490,,,new
756,لعبة,80432,,,new
757,يقدر,80407,,,new
758,البعض,80243,,,new
759,فيصل,80213,,,new
760,الشركة,80168,,,new
761,الفصل,80136,,,new
762,جديد,79745,,,new
763,التواصل,79711,,,new
764,الشباب,79702,,,new
765,الكنيسة,79639,,,new
766,وعلى,79636,,,new
767,المسيحية,79032,,,new
768,بولندا,78804,,,new
769,لجنة,78726,,,new
770,مستوى,78505,,,new
771,المغربية,78435,,,new
772,مترجم,78419,,,new
773,الطاقة,78409,,,new
774,الأمر,78369,,,new
775,فاز,78363,,,new
776,أصبحت,78335,,,new
777,إداري,78324,,,new
778,إندونيسيا,78298,,,new
779,الجمهورية,78192,,,new
780,وزراء,78129,,,new
781,قدره,78084,,,new
782,المنتخب,78044,,,new
783,المقالات,77982,,,new
784,حزام,77745,,,new
785,بالنسبة,77726,,,new
786,صور,77669,,,new
787,إضافة,77651,,,new
788,هوكي,77598,,,new
789,اذكر,77576,,,new
790,مملكة,77558,,,new
791,مليار,77556,,,new
792,العلم,77540,,,new
793,الأمير,77534,,,new
794,الفرنسي,77440,,,new
795,عد,77402,,,new
796,قوات,77362,,,new
797,القاطنين,77304,,,new
798,للفرد,77204,,,new
799,سطر,77166,,,new
800,جمعية,76924,,,new
801,الانتخابات,76849,,,new
802,الخاص,76825,,,new
803,البلدان,76702,,,new
804,باستخدام,76632,,,new
805,الأطفال,76597,,,new
806,غلاف,76593,,,new
807,البحرين,76486,,,new
808,الروسية,76359,,,new
809,المجتمع,76330,,,new
810,مرحلة,76210,,,new
811,النمسا,76042,,,new
812,بغداد,75975,,,new
813,السامية,75802,,,new
814,السودان,75747,,,new
815,جانب,75640,,,new
816,مسجد,75515,,,new
817,الإسباني,75473,,,new
818,المعرف,75424,,,new
819,شخصيات,75286,,,new
820,توقيع,74994,,,new
821,النشاط,74833,,,new
822,قصة,74585,,,new
823,الإقامة,74530,,,new
824,تحديد,74490,,,new
825,الشمسي,74442,,,new
826,وتم,74328,,,new
827,فرز,74264,,,new
828,اليمنية,74152,,,new
829,السلام,74098,,,new
830,جورجيا,74045,,,new
831,وسام,74018,,,new
832,للمحرر,73959,,,new
833,المنصب,73946,,,new
834,وي,73917,,,new
835,الأكبر,73910,,,new
836,سبقه,73879,,,new
837,البيضاء,73857,,,new
838,الناس,73851,,,new
839,حصل,73771,,,new
840,الفضاء,73646,,,new
841,كتابة,73401,,,new
842,تضم,73141,,,new
843,السوفيتي,73095,,,new
844,الشمس,72996,,,new
845,الحركة,72969,,,new
846,جيمس,72965,,,new
847,المثال,72907,,,new
848,المنظمة,72903,,,new
849,الاجتماعية,72723,,,new
850,ملخص,72698,,,new
851,كانوا,72634,,,new
852,مختارة,72627,,,new
853,فرنسيون,72510,,,new
854,نيوزيلندا,72425,,,new
855,ممثلة,72345,,,new
856,بديل,72284,,,new
857,النرويج,72260,,,new
858,حدث,72235,,,new
859,مغنون,72191,,,new
860,العشرين,72189,,,new
861,الشخصية,72167,,,new
862,محطة,72143,,,new
863,جدول,72124,,,new
864,القسم,72119,,,new
865,النساء,72082,,,new
866,وكذلك,72040,,,new
867,معهم,71782,,,new
868,طائرة,71712,,,new
869,الطريق,71680,,,new
870,التابع,71483,,,new
871,اليد,71376,,,new
872,والعشرين,71373,,,new
873,السياسية,71359,,,new
874,سبيل,71225,,,new
875,مبان,71218,,,new
876,التاسع,71211,,,new
877,رجل,71206,,,new
878,نصي,71070,,,new
879,الأهداف,71063,,,new
880,بلدية,71040,,,new
881,عربي,70931,,,new
882,ألمان,70925,,,new
883,بيروت,70824,,,new
884,جمال,70714,,,new
885,مخرج,70677,,,new
886,أدى,70663,,,new
887,ديفيد,70480,,,new
888,النقل,70458,,,new
889,الخامس,70325,,,new
890,قائد,70325,,,new
891,صيغة,70309,,,new
892,أفارقة,70212,,,new
893,تمثيل,70177,,,new
894,أوكرانيا,70096,,,new
895,بحسب,70092,,,new
896,مدة,70087,,,new
897,شبكة,70061,,,new
898,الريفي,70023,,,new
899,سجل,69984,,,new
900,الرومانية,69934,,,new
901,القارة,69604,,,new
902,الكبير,69590,,,new
903,فرنسي,69425,,,new
904,الناحية,69369,,,new
905,لوس,69225,,,new
906,الهادئ,69059,,,new
907,لقب,68923,,,new
908,ون,68894,,,new
909,الرحمن,68871,,,new
910,والرابعة,68842,,,new
911,رفض,68790,,,new
912,رسالة,68768,,,new
913,توفي,68736,,,new
914,يكن,68721,,,new
915,الأوسط,68669,,,new
916,فنون,68606,,,new
917,نظرية,68601,,,new
918,الفلسطينية,68553,,,new
919,جرائم,68540,,,new
920,الأحياء,68538,,,new
921,أطول,68529,,,new
922,ولدت,68490,,,new
923,قرار,68423,,,new
924,الإسبانية,68406,,,new
925,الألماني,68385,,,new
926,لأول,68296,,,new
927,إل,68272,,,new
928,الكواكب,68134,,,new
929,متعددة,68090,,,new
930,خالد,68079,,,new
931,الشهر,67763,,,new
932,الحالة,67739,,,new
933,سعود,67623,,,new
934,تعديل,67601,,,new
935,الأفلام,67586,,,new
936,الإقليم,67563,,,new
937,غزة,67529,,,new
938,الزوج,67500,,,new
939,الدنمارك,67455,,,new
940,عمارة,67380,,,new
941,ات,67336,,,new
942,سعيد,67300,,,new
943,للتخطيط,67269,,,new
944,التنمية,67240,,,new
945,رئيسي,67203,,,new
946,مدريد,67196,,,new
947,الدم,67192,,,new
948,السكنية,67051,,,new
949,لذلك,66930,,,new
950,التوقيع,66916,,,new
951,دراسة,66859,,,new
952,بريطانيون,66814,,,new
953,ركوب,66805,,,new
954,وفاة,66569,,,new
955,أيام,66558,,,new
956,الرياضي,66554,,,new
957,تشريفية,66537,,,new
958,الصحة,66530,,,new
959,الشرطة,66530,,,new
960,الرابعة,66185,,,new
961,جبال,66081,,,new
962,التركيبة,66052,,,new
963,السادس,65930,,,new
964,كويكبات,65922,,,new
965,مرجع,65834,,,new
966,أسماء,65825,,,new
967,المحلية,65802,,,new
968,مس,65797,,,new
969,سياسية,65785,,,new
970,بلديات,65775,,,new
971,أنثى,65738,,,new
972,دوار,65691,,,new
973,القدس,65552,,,new
974,البارالمبية,65546,,,new
975,بلدة,65535,,,new
976,المندوبية,65496,,,new
977,إلينوي,65491,,,new
978,كائن,65431,,,new
979,التركيب,65422,,,new
980,القاعدة,65407,,,new
981,كوكب,65376,,,new
982,يم,65274,,,new
983,كنديون,65252,,,new
984,المصدر,65163,,,new
985,نقطة,65159,,,new
986,رؤساء,65157,,,new
987,الماء,65150,,,new
988,أحداثها,64996,,,new
989,عمليات,64985,,,new
990,الجنس,64955,,,new
991,صف,64939,,,new
992,البشرية,64917,,,new
993,مخفي,64903,,,new
994,والستين,64833,,,new
995,أجرام,64816,,,new
